"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,1781219,990882,970016,24847
12,1976867,1125786,1023419,106348
13,2173205,1211639,1084694,130926
14,2472159,1411247,1150419,264809
15,2703097,1523946,1214576,313351
16,2976618,1716577,1268022,452536
17,3237601,1867070,1337195,532829
18,3524024,2064078,1393752,673280
19,3757896,2181661,1443502,741113
20,3939009,1737095,1636772,103855
21,4101003,1845352,1770631,78686
22,4264836,1652986,1890623,-233672
23,4400722,1546648,1946457,-395699
24,4516714,1182413,2010973,-824450
25,4643982,775566,2124222,-1344546
26,5682837,1011937,2296532,-1280485
27,5814883,1067307,2354853,-1283436
28,6038421,883948,2438669,-1550611
29,6232596,1020864,2509185,-1484211
30,8033913,2635309,2599097,39294
31,9050854,3597834,3570431,29971
32,9951418,4439117,3690228,751457
33,10534445,4865649,3758447,1108743
34,11642121,5839021,3911972,1927563
35,12284208,5262433,4107343,1155347
36,12567293,5489897,4172980,1317944
37,12864373,5549628,4227105,1324064
38,13180881,5452883,4380715,1073966
39,13442764,5663900,4450643,1216211
40,14756342,6628949,4604986,2024862
41,15080058,6699949,4802103,1899323
42,15391760,6754828,4908771,1847823
43,15647201,6873705,4972230,1903385
44,17235429,7813392,5117969,2696378
45,18818337,8977087,5183399,3795348
46,19517484,9408838,5361133,4048338
47,19809968,9647006,5434895,4213455
48,20100294,9883574,5511134,4374139
49,21402269,10991715,5620373,5372014
50,21715804,11248978,5694459,5554519
51,22026332,11320992,6200674,5121345
52,23391600,12469834,6318750,6151084
53,24835414,13707565,6447411,7260154
54,26007833,14672351,6517202,8155149
55,26916503,15527086,6633386,8893700
56,27249983,15806949,6724618,9082331
57,27880062,16193990,7188439,9005551
58,28210106,16470874,7253393,9217481
59,28514981,16443932,7585183,8858749
60,28828405,16691189,7661814,9029375
61,29159309,15738677,7885671,7853006
62,29855035,15385720,8022555,7396518
63,30249278,15722906,8068796,7687463
64,30599556,16022466,8123569,7932250
65,33142106,15816454,8644697,7205110
66,35339961,17963933,8688506,9308780
67,35649324,17572874,8765787,8840440
68,36034556,17907355,8836416,9104292
69,36360797,18164392,8939958,9257787
70,41087665,22208952,9310992,12971313
71,43876880,24308688,9557308,14824733
72,44966496,24115838,10037572,14151619
73,46532563,25596291,10111717,15557927
74,46840622,25832111,10171087,15734377
75,47158204,25490110,10511555,15051908
76,49095376,27357997,10597354,16833996
77,49422728,27602266,10655631,17019988
78,49719441,25011338,11542784,13541907
79,51977683,27219582,11614566,15678369
80,52323624,27515564,11667023,15921894
81,54433781,28171653,12124422,16120584
82,56523604,29752142,12410017,17415478
83,57442798,30006372,12743462,17336263
84,60307098,31917140,13554195,18436298
85,62624950,33103277,15297127,17879503
86,62935408,33143815,15384178,17832990
87,63277071,33434904,15442237,18066020
88,63671302,33026278,16296470,16803161
89,63983540,33261331,16374912,16959772
90,64582791,33811910,16450969,17434294